TAMBON_E,AM_ID,AMPHOE_E,CH_ID,CHANGWAT_E,LAT,LONG
Ko Sarai,9101,Mueang Satun,91,Satun,6.546,99.706
Maptaphut,2101,Mueang Rayong,21,Rayong,12.646,101.171
Maptaphut,2101,Mueang Rayong,21,Rayong,12.645,101.17
Maptaphut,2101,Mueang Rayong,21,Rayong,12.649,101.174
Maptaphut,2101,Mueang Rayong,21,Rayong,12.644,101.169
Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.459,99.403
Dan Sawi,8607,Sawi,86,Chumphon,10.291,99.241
Tha Tum,4401,Mueang Maha Sarakham,44,Maha Sarakham,16.162,103.484
Ang Thong,8404,Ko Samui,84,Surat Thani,9.708,99.675
Ang Thong,8404,Ko Samui,84,Surat Thani,9.796,99.713
Ang Thong,8404,Ko Samui,84,Surat Thani,9.677,99.659
Sattahip,2009,Sattahip,20,Chon Buri,12.611,100.889
Tase,9210,Hat Samran,92,Trang,7.033,99.449
Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.477,99.369
Pak Khlong,8603,Pathio,86,Chumphon,10.862,99.486
Pak Tako,8608,Thung Tako,86,Chumphon,10.165,99.176
Pak Khlong,8603,Pathio,86,Chumphon,10.8,99.538
Ko Sarai,9101,Mueang Satun,91,Satun,6.672,99.844
Ang Thong,8404,Ko Samui,84,Surat Thani,9.767,99.668
Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.466,99.359
Pak Tako,8608,Thung Tako,86,Chumphon,10.131,99.165
Ko Sarai,9101,Mueang Satun,91,Satun,6.705,99.799
Tase,9210,Hat Samran,92,Trang,6.984,99.473
Dan Sawi,8607,Sawi,86,Chumphon,10.197,99.221
Pak Tako,8608,Thung Tako,86,Chumphon,10.118,99.216
Tase,9210,Hat Samran,92,Trang,7.067,99.398
Pak Khlong,8603,Pathio,86,Chumphon,10.782,99.53
Bang Kachai,2206,Laem Sing,22,Chanthaburi,12.465,102.066
Tase,9210,Hat Samran,92,Trang,7.016,99.445
Pak Khlong,8603,Pathio,86,Chumphon,10.84,99.497
Ko Sarai,9101,Mueang Satun,91,Satun,6.71,99.794
Ang Thong,8404,Ko Samui,84,Surat Thani,9.707,99.676
Ko Phra Thong,8206,Khura Buri,82,Phang-nga,9.406,97.901
Samae San,2009,Sattahip,20,Chon Buri,12.616,100.918
Tase,9210,Hat Samran,92,Trang,7.075,99.451
Ko Mak,2306,Ko Kut,23,Trat,11.817,102.397
Ang Thong,8404,Ko Samui,84,Surat Thani,9.551,99.694
Ko Sarai,9101,Mueang Satun,91,Satun,6.582,99.719
Ko Phra Thong,8206,Khura Buri,82,Phang-nga,9.495,97.874
Ko Sarai,9101,Mueang Satun,91,Satun,6.551,99.35
Ko Mak,2306,Ko Kut,23,Trat,11.805,102.376
Ko Mak,2306,Ko Kut,23,Trat,11.857,102.525
Ang Thong,8404,Ko Samui,84,Surat Thani,9.681,99.677
Kamphuan,8505,Suk Samran,85,Ranong,9.401,98.392
,9202,Kantang,92,Trang,7.272,99.475
Don Sak,8403,Don Sak,84,Surat Thani,9.31,99.66
Dan Sawi,8607,Sawi,86,Chumphon,10.247,99.249
Ang Thong,8404,Ko Samui,84,Surat Thani,9.699,99.68
Ko Sarai,9101,Mueang Satun,91,Satun,6.675,99.833
Ang Thong,8404,Ko Samui,84,Surat Thani,9.709,99.676
Ko Mak,2306,Ko Kut,23,Trat,11.815,102.398
Ko Mak,2306,Ko Kut,23,Trat,11.819,102.402
Ang Thong,8404,Ko Samui,84,Surat Thani,9.696,99.662
Ko Sarai,9101,Mueang Satun,91,Satun,6.542,99.164
Ko Mak,2306,Ko Kut,23,Trat,11.858,102.523
Ko Libong,9202,Kantang,92,Trang,7.303,99.394
Ko Kaeo,8301,Mueang Phuket,83,Phuket,7.924,98.455
Dan Sawi,8607,Sawi,86,Chumphon,10.222,99.243
Ko Sarai,9101,Mueang Satun,91,Satun,6.524,99.269
Ang Thong,8404,Ko Samui,84,Surat Thani,9.706,99.675
Ang Thong,8404,Ko Samui,84,Surat Thani,9.661,99.659
Ko Phra Thong,8206,Khura Buri,82,Phang-nga,9.472,97.876
Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.486,99.418
Kamphuan,8505,Suk Samran,85,Ranong,9.5,98.374
Ko Mak,2306,Ko Kut,23,Trat,11.808,102.378
Ko Sarai,9101,Mueang Satun,91,Satun,6.515,99.174
Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.506,99.425
Mai Fat,9205,Sikao,92,Trang,7.47,99.32
Si Racha,2007,Si Racha,20,Chon Buri,13.174,100.92
Ang Thong,8404,Ko Samui,84,Surat Thani,9.681,99.667
Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.349,99.295
Khao Thong,8101,Mueang Krabi,81,Krabi,8.049,98.676
Ko Sarai,9101,Mueang Satun,91,Satun,6.485,99.366
Ko Sarai,9101,Mueang Satun,91,Satun,6.655,99.876
Ang Thong,8404,Ko Samui,84,Surat Thani,9.676,99.664
Dan Sawi,8607,Sawi,86,Chumphon,10.208,99.249
Don Sak,8403,Don Sak,84,Surat Thani,9.351,99.72
Ko Sarai,9101,Mueang Satun,91,Satun,6.704,99.871
Pak Nam,8601,Mueang Chumphon,86,Chumphon,10.448,99.253
Tase,9210,Hat Samran,92,Trang,7.144,99.639
Ko Mak,2306,Ko Kut,23,Trat,11.81,102.376
Pak Tako,8608,Thung Tako,86,Chumphon,10.132,99.163
Ang Thong,8404,Ko Samui,84,Surat Thani,9.702,99.664
Dan Sawi,8607,Sawi,86,Chumphon,10.296,99.247
Ko Sarai,9101,Mueang Satun,91,Satun,6.514,99.173
Ko Sarai,9101,Mueang Satun,91,Satun,6.504,99.182
Ang Thong,8404,Ko Samui,84,Surat Thani,9.664,99.677
Karon,8301,Mueang Phuket,83,Phuket,7.821,98.285
Ang Thong,8404,Ko Samui,84,Surat Thani,9.687,99.675
Tase,9210,Hat Samran,92,Trang,7.144,99.631
Maptaphut,2101,Mueang Rayong,21,Rayong,12.648,101.17
Pak Khlong,8603,Pathio,86,Chumphon,10.865,99.489
Ko Sarai,9101,Mueang Satun,91,Satun,6.508,99.173
,9202,Kantang,92,Trang,7.291,99.45
Bo Hin,9205,Sikao,92,Trang,7.549,99.283
Ang Thong,8404,Ko Samui,84,Surat Thani,9.77,99.668
Ang Thong,8404,Ko Samui,84,Surat Thani,9.521,99.711
Ang Thong,8404,Ko Samui,84,Surat Thani,9.8,99.713
Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.426,99.316
Ang Thong,8404,Ko Samui,84,Surat Thani,9.603,99.715
Ko Sarai,9101,Mueang Satun,91,Satun,6.499,99.318
Ko Sarai,9101,Mueang Satun,91,Satun,6.652,99.692
Sattahip,2009,Sattahip,20,Chon Buri,12.646,100.897
Ao Luek Noi,8105,Ao Luek,81,Krabi,8.211,98.687
Kamphuan,8505,Suk Samran,85,Ranong,9.5,98.368
Don Sak,8403,Don Sak,84,Surat Thani,9.315,99.66
Dan Sawi,8607,Sawi,86,Chumphon,10.257,99.227
Ang Thong,8404,Ko Samui,84,Surat Thani,9.672,99.681
Ko Sarai,9101,Mueang Satun,91,Satun,6.514,99.262
Dan Sawi,8607,Sawi,86,Chumphon,10.2,99.249
Ang Thong,8404,Ko Samui,84,Surat Thani,9.542,99.673
Ao Luek Noi,8105,Ao Luek,81,Krabi,8.208,98.691
Pak Tako,8608,Thung Tako,86,Chumphon,10.151,99.204
Ao Luek Noi,8105,Ao Luek,81,Krabi,8.302,98.698
Ko Phayam,8501,Mueang Ranong,85,Ranong,9.877,98.442
Ao Luek Noi,8105,Ao Luek,81,Krabi,8.204,98.69
Ang Thong,8404,Ko Samui,84,Surat Thani,9.671,99.678
Pak Nam,8501,Mueang Ranong,85,Ranong,9.914,98.526
Thep Krasattri,8303,Thalang,83,Phuket,8.116,98.425
Ko Phayam,8501,Mueang Ranong,85,Ranong,9.779,98.477
Ang Thong,8404,Ko Samui,84,Surat Thani,9.771,99.671
Pak Nam,8501,Mueang Ranong,85,Ranong,9.926,98.514
