AD_LEVEL,TA_ID,TAMBON_E,AM_ID,AMPHOE_E,CH_ID,CHANGWAT_E,LAT,LONG
4,910106,Ko Sarai,9101,Mueang Satun,91,Satun,6.546,99.706
4,210114,Maptaphut,2101,Mueang Rayong,21,Rayong,12.646,101.171
4,210114,Maptaphut,2101,Mueang Rayong,21,Rayong,12.645,101.170
4,210114,Maptaphut,2101,Mueang Rayong,21,Rayong,12.649,101.174
4,210114,Maptaphut,2101,Mueang Rayong,21,Rayong,12.644,101.169
4,860116,Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.459,99.403
4,860706,Dan Sawi,8607,Sawi,86,Chumphon,10.291,99.241
4,440103,Tha Tum,4401,Mueang Maha Sarakham,44,Maha Sarakham,16.162,103.484
4,840401,Ang Thong,8404,Ko Samui,84,Surat Thani,9.708,99.675
4,840401,Ang Thong,8404,Ko Samui,84,Surat Thani,9.796,99.713
4,840401,Ang Thong,8404,Ko Samui,84,Surat Thani,9.677,99.659
4,200901,Sattahip,2009,Sattahip,20,Chon Buri,12.611,100.889
4,921003,Tase,9210,Hat Samran,92,Trang,7.033,99.449
4,860116,Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.477,99.369
4,860306,Pak Khlong,8603,Pathio,86,Chumphon,10.862,99.486
4,860801,Pak Tako,8608,Thung Tako,86,Chumphon,10.165,99.176
4,860306,Pak Khlong,8603,Pathio,86,Chumphon,10.800,99.538
4,910106,Ko Sarai,9101,Mueang Satun,91,Satun,6.672,99.844
4,840401,Ang Thong,8404,Ko Samui,84,Surat Thani,9.767,99.668
4,860116,Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.466,99.359
4,860801,Pak Tako,8608,Thung Tako,86,Chumphon,10.131,99.165
4,910106,Ko Sarai,9101,Mueang Satun,91,Satun,6.705,99.799
4,921003,Tase,9210,Hat Samran,92,Trang,6.984,99.473
4,860706,Dan Sawi,8607,Sawi,86,Chumphon,10.197,99.221
4,860801,Pak Tako,8608,Thung Tako,86,Chumphon,10.118,99.216
4,921003,Tase,9210,Hat Samran,92,Trang,7.067,99.398
4,860306,Pak Khlong,8603,Pathio,86,Chumphon,10.782,99.530
4,220607,Bang Kachai,2206,Laem Sing,22,Chanthaburi,12.465,102.066
4,921003,Tase,9210,Hat Samran,92,Trang,7.016,99.445
4,860306,Pak Khlong,8603,Pathio,86,Chumphon,10.840,99.497
4,910106,Ko Sarai,9101,Mueang Satun,91,Satun,6.710,99.794
4,840401,Ang Thong,8404,Ko Samui,84,Surat Thani,9.707,99.676
4,820603,Ko Phra Thong,8206,Khura Buri,82,Phang-nga,9.406,97.901
4,200905,Samae San,2009,Sattahip,20,Chon Buri,12.616,100.918
4,921003,Tase,9210,Hat Samran,92,Trang,7.075,99.451
4,230601,Ko Mak,2306,Ko Kut,23,Trat,11.817,102.397
4,840401,Ang Thong,8404,Ko Samui,84,Surat Thani,9.551,99.694
4,910106,Ko Sarai,9101,Mueang Satun,91,Satun,6.582,99.719
4,820603,Ko Phra Thong,8206,Khura Buri,82,Phang-nga,9.495,97.874
4,910106,Ko Sarai,9101,Mueang Satun,91,Satun,6.551,99.350
4,230601,Ko Mak,2306,Ko Kut,23,Trat,11.805,102.376
4,230601,Ko Mak,2306,Ko Kut,23,Trat,11.857,102.525
4,840401,Ang Thong,8404,Ko Samui,84,Surat Thani,9.681,99.677
4,850502,Kamphuan,8505,Suk Samran,85,Ranong,9.401,98.392
4,920222,,9202,Kantang,92,Trang,7.272,99.475
4,840301,Don Sak,8403,Don Sak,84,Surat Thani,9.310,99.660
4,860706,Dan Sawi,8607,Sawi,86,Chumphon,10.247,99.249
4,840401,Ang Thong,8404,Ko Samui,84,Surat Thani,9.699,99.680
4,910106,Ko Sarai,9101,Mueang Satun,91,Satun,6.675,99.833
4,840401,Ang Thong,8404,Ko Samui,84,Surat Thani,9.709,99.676
4,230601,Ko Mak,2306,Ko Kut,23,Trat,11.815,102.398
4,230601,Ko Mak,2306,Ko Kut,23,Trat,11.819,102.402
4,840401,Ang Thong,8404,Ko Samui,84,Surat Thani,9.696,99.662
4,910106,Ko Sarai,9101,Mueang Satun,91,Satun,6.542,99.164
4,230601,Ko Mak,2306,Ko Kut,23,Trat,11.858,102.523
4,920213,Ko Libong,9202,Kantang,92,Trang,7.303,99.394
4,830103,Ko Kaeo,8301,Mueang Phuket,83,Phuket,7.924,98.455
4,860706,Dan Sawi,8607,Sawi,86,Chumphon,10.222,99.243
4,910106,Ko Sarai,9101,Mueang Satun,91,Satun,6.524,99.269
4,840401,Ang Thong,8404,Ko Samui,84,Surat Thani,9.706,99.675
4,840401,Ang Thong,8404,Ko Samui,84,Surat Thani,9.661,99.659
4,820603,Ko Phra Thong,8206,Khura Buri,82,Phang-nga,9.472,97.876
4,860116,Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.486,99.418
4,850502,Kamphuan,8505,Suk Samran,85,Ranong,9.500,98.374
4,230601,Ko Mak,2306,Ko Kut,23,Trat,11.808,102.378
4,910106,Ko Sarai,9101,Mueang Satun,91,Satun,6.515,99.174
